name;constellation;bayer;ra;dec;mag;bv
;For;γ1 For;02:49:50.97;-24:33:37.12;6.14;1.00
;For;γ2 For;02:49:54.18;-27:56:31.13;5.39;0.01
Bharani;Ari;;02:49:59.03;27:15:37.83;3.61;-0.10
;For;η2 For;02:50:14.78;-35:50:37.09;5.92;0.90
;Hyi;ν Hyi;02:50:28.52;-75:04:01.01;4.76;1.34
;For;η3 For;02:50:40.41;-35:40:33.06;5.48;1.26
Miram;Per;η Per;02:50:41.80;55:53:43.79;3.77;1.69
Angetenar;Eri;τ2 Eri;02:51:02.32;-21:00:14.47;4.76;0.91
;Ari;σ Ari;02:51:29.58;15:04:55.46;5.52;-0.10
;For;ψ For;02:53:34.39;-38:26:13.21;5.93;0.44
;Per;τ Per;02:54:15.46;52:45:44.92;3.93;0.76
;Ari;ρ1 Ari;02:54:55.20;17:44:05.12;7.01;0.28
;Ari;ρ2 Ari;02:55:48.50;18:19:53.90;5.76;1.45
Azha;Eri;η Eri;02:56:25.65;-8:53:53.32;3.89;1.09
;Ari;ρ3 Ari;02:56:26.15;18:01:23.23;5.58;0.47
Acamar;Eri;θ1 Eri;02:58:15.68;-40:18:16.82;2.88;0.13
;Per;π Per;02:58:45.67;39:39:45.82;4.68;0.06
;Hor;β Hor;02:58:47.78;-64:04:16.62;4.98;0.13
;Ari;ε Ari;02:59:12.72;21:20:25.54;4.63;0.05
;For;ζ For;02:59:36.17;-25:16:26.88;5.69;0.43
;Cet;λ Cet;02:59:42.90;08:54:26.51;4.71;-0.11
Ayeyarwady;Eri;;03:00:10.66;-20:48:09.37;7.81;0.94
;Eri;ρ1 Eri;03:01:10.02;-7:39:46.84;5.75;1.04
;For;ε For;03:01:37.61;-28:05:29.59;5.88;0.79
;Hyi;θ Hyi;03:02:15.41;-71:54:08.85;5.51;-0.12
Menkar;Cet;α Cet;03:02:16.77;04:05:23.04;2.54;1.63
;Eri;τ3 Eri;03:02:23.51;-23:37:28.10;4.08;0.16
;Eri;ρ2 Eri;03:02:42.27;-7:41:07.70;5.32;0.94
;Hor;μ Hor;03:03:36.86;-59:44:15.99;5.12;0.35
;Eri;ρ3 Eri;03:04:16.51;-7:36:03.09;5.26;0.19
;Per;γ Per;03:04:47.79;53:30:23.18;2.91;0.72
;Per;ρ Per;03:05:10.57;38:50:24.99;3.32;1.53
Algol;Per;β Per;03:08:10.13;40:57:20.33;2.09;-0.00
;Per;ι Per;03:09:03.62;49:36:47.80;4.05;0.60
Misam;Per;κ Per;03:09:29.73;44:51:27.16;3.79;0.98
;Per;ω Per;03:11:17.39;39:36:41.70;4.61;1.12
Botein;Ari;δ Ari;03:11:37.76;19:43:36.04;4.35;1.03
Dalim;For;α For;03:12:04.50;-28:59:15.42;3.80;0.54
;Ari;ζ Ari;03:14:54.10;21:02:39.99;4.87;-0.01
Zibal;Eri;ζ Eri;03:15:50.03;-8:49:11.03;4.80;0.23
;Hyi;ι Hyi;03:15:57.42;-77:23:18.43;5.51;0.44
;Ret;ζ1 Ret;03:17:45.25;-62:34:31.16;5.53;0.64
;Ret;ζ2 Ret;03:18:11.91;-62:30:22.91;5.24;0.60
;Cet;κ1 Cet;03:19:21.69;03:22:12.71;4.84;0.68
;Eri;τ4 Eri;03:19:31.00;-21:45:28.31;3.70;1.61
82 G. Eri;Eri;;03:19:55.00;-43:04:11.22;4.26;0.71
Intan;For;;03:20:42.66;-33:43:48.37;9.92;1.04
;Cet;κ2 Cet;03:21:06.80;03:40:32.23;5.70;0.96
;Ari;τ1 Ari;03:21:13.62;21:08:49.51;5.27;-0.07
;Ari;τ2 Ari;03:22:45.24;20:44:31.45;5.10;1.23
Mirfak;Per;α Per;03:24:19.36;49:51:40.25;1.79;0.48
;Tau;ο Tau;03:24:48.79;09:01:43.93;3.61;0.89
;For;χ1 For;03:25:55.84;-35:55:15.19;6.39;0.08
;Tau;ξ Tau;03:27:10.15;09:43:57.65;3.73;-0.08
