name;constellation;bayer;ra;dec;mag;bv
Dingolay;Leo;;11:04:44.45;-2:30:47.58;8.21;0.86
;Leo;χ Leo;11:05:01.03;07:20:09.63;4.62;0.33
;Hya;χ1 Hya;11:05:19.92;-27:17:37.00;4.92;0.37
;Hya;χ2 Hya;11:05:57.57;-27:17:16.27;5.69;-0.07
;UMa;ψ UMa;11:09:39.82;44:29:54.55;3.00;1.14
;Crt;β Crt;11:11:39.49;-22:49:33.05;4.46;0.03
;Crt;ψ Crt;11:12:30.37;-18:29:59.50;6.11;-0.00
Zosma;Leo;δ Leo;11:14:06.50;20:31:25.38;2.56;0.13
Chertan;Leo;θ Leo;11:14:14.41;15:25:46.45;3.33;-0.00
;Leo;φ Leo;11:16:39.70;-3:39:05.76;4.45;0.21
Hunahpú;Crt;;11:17:47.56;-23:58:31.49;8.05;0.96
Alula Australis;UMa;ξ UMa;11:18:11.22;31:31:43.62;4.33;0.59
Alula Borealis;UMa;ν UMa;11:18:28.74;33:05:39.50;3.49;1.40
;Crt;δ Crt;11:19:20.45;-14:46:42.75;3.56;1.11
;Cen;π Cen;11:21:00.42;-54:29:27.67;3.90;-0.16
;Leo;σ Leo;11:21:08.19;06:01:45.56;4.05;-0.06
;Crt;λ Crt;11:23:21.89;-18:46:47.90;5.08;0.44
;Leo;ι Leo;11:23:55.45;10:31:46.23;4.00;0.42
Shama;Leo;;11:24:17.36;-1:31:44.67;9.10;0.87
;Crt;ε Crt;11:24:36.59;-10:51:33.56;4.81;1.56
;Crt;γ Crt;11:24:52.93;-17:41:02.44;4.06;0.22
;Crt;κ Crt;11:27:09.52;-12:21:24.30;5.93;0.49
;Leo;τ Leo;11:27:56.24;02:51:22.55;4.95;1.00
Giausar;Dra;λ Dra;11:31:24.27;69:19:51.87;3.82;1.61
;Cen;ο1 Cen;11:31:46.07;-59:26:31.42;5.07;1.03
;Cen;ο2 Cen;11:31:48.80;-59:30:56.33;5.12;0.43
;Hya;ξ Hya;11:33:00.14;-31:51:27.45;3.54;0.95
Formosa;Leo;;11:35:03.76;20:26:29.56;6.45;1.01
;Cen;λ Cen;11:35:46.91;-63:01:11.43;3.11;-0.04
Sagarmatha;Leo;;11:35:51.52;-4:45:20.51;8.42;0.76
;Crt;θ Crt;11:36:40.91;-9:48:08.09;4.70;-0.07
;Leo;υ Leo;11:36:56.93;00:49:25.50;4.30;0.98
;Cha;π Cha;11:37:15.87;-75:53:47.56;5.64;0.36
;Vir;ω Vir;11:38:27.61;08:08:03.47;5.24;1.50
;Crt;ι Crt;11:38:40.02;-13:12:06.99;5.48;0.52
;Hya;ο Hya;11:40:12.80;-34:44:40.78;4.70;-0.07
;Crt;ζ Crt;11:44:45.78;-18:21:02.43;4.71;0.96
Uklun;Cen;;11:44:50.50;-58:42:13.35;7.47;0.72
;Vir;ξ Vir;11:45:17.04;08:15:29.23;4.84;0.17
;Mus;λ Mus;11:45:36.51;-66:43:43.55;3.63;0.16
Flegetonte;Vir;;11:45:42.29;02:49:17.34;8.07;0.83
;Vir;ν Vir;11:45:51.56;06:31:45.75;4.04;1.50
Taiyangshou;UMa;χ UMa;11:46:03.05;47:46:45.86;3.69;1.18
Ross 128;Vir;;11:47:44.40;00:48:16.43;11.12;1.75
;Mus;μ Mus;11:48:14.51;-66:48:53.68;4.75;1.52
Denebola;Leo;β Leo;11:49:03.59;14:34:19.42;2.14;0.09
Zavijava;Vir;β Vir;11:50:41.72;01:45:52.98;3.59;0.52
Aniara;UMa;;11:51:22.52;57:38:26.65;7.86;0.97
;Hya;β Hya;11:52:54.53;-33:54:29.25;4.29;-0.10
Groombridge 1830;UMa;;11:52:58.15;37:43:07.24;6.42;0.75
Phecda;UMa;γ UMa;11:53:49.80;53:41:41.14;2.41;0.04
;Crt;η Crt;11:56:00.96;-17:09:02.98;5.17;-0.02
;Cha;ε Cha;11:59:37.67;-78:13:18.62;4.88;-0.05
;Vir;π Vir;12:00:52.39;06:36:51.56;4.65;0.12
;Cru;θ1 Cru;12:03:01.61;-63:18:46.55;4.32;0.28
;Cru;θ2 Cru;12:04:19.23;-63:09:56.56;4.72;-0.08
;Cha;κ Cha;12:04:46.62;-76:31:08.62;5.04;1.49
;Vir;ο Vir;12:05:12.54;08:43:58.75;4.12;0.97
Tonatiuh;Cam;;12:05:14.82;76:54:20.64;5.78;1.03
;Cru;η Cru;12:06:52.87;-64:36:49.43;4.14;0.35
;Cen;δ Cen;12:08:21.52;-50:43:20.73;2.58;-0.13
Alchiba;Crv;α Crv;12:08:24.81;-24:43:43.95;4.02;0.33
;Crv;ε Crv;12:10:07.49;-22:37:11.16;3.02;1.33
;Cen;ρ Cen;12:11:39.13;-52:22:06.46;3.97;-0.16
Imai;Cru;δ Cru;12:15:08.74;-58:44:56.14;2.79;-0.19
Megrez;UMa;δ UMa;12:15:25.51;57:01:57.42;3.32;0.08
Gienah;Crv;γ Crv;12:15:48.37;-17:32:30.94;2.58;-0.11
;Mus;ε Mus;12:17:34.50;-67:57:38.65;4.06;1.60
;Cha;β Cha;12:18:20.92;-79:18:44.06;4.24;-0.12
;Cru;ζ Cru;12:18:26.27;-64:00:11.06;4.06;-0.17
Zaniah;Vir;η Vir;12:19:54.36;00:40:00.49;3.89;0.03
;Crv;ζ Crv;12:20:33.65;-22:12:57.24;5.20;-0.09
Ginan;Cru;ε Cru;12:21:21.71;-60:24:04.13;3.59;1.39
;Mus;ζ2 Mus;12:22:07.37;-67:31:19.58;5.15;0.19
;Mus;ζ1 Mus;12:22:12.03;-68:18:26.34;5.73;1.04
Tupã;Cru;;12:25:46.41;-64:01:19.52;6.99;0.54
Acrux;Cru;α1 Cru;12:26:35.92;-63:05:56.73;0.77;-0.24
;Com;γ Com;12:26:56.28;28:16:06.32;4.35;1.13
;Cen;σ Cen;12:28:02.39;-50:13:50.29;3.91;-0.19
3C 273;Vir;;12:29:06.69;02:03:08.63;12.88;0.12
Algorab;Crv;δ Crv;12:29:51.86;-16:30:55.56;2.94;-0.01
Gacrux;Cru;γ Cru;12:31:09.94;-57:06:47.56;1.59;1.60
;Crv;η Crv;12:32:04.24;-16:11:45.63;4.30;0.39
Funi;Dra;;12:32:07.46;74:29:22.38;8.75;0.64
;Mus;γ Mus;12:32:28.08;-72:07:58.76;3.84;-0.16
;Dra;κ Dra;12:33:29.01;69:47:17.66;3.85;-0.12
Chara;CVn;β CVn;12:33:44.68;41:21:26.93;4.24;0.59
Kraz;Crv;β Crv;12:34:23.24;-23:23:48.33;2.65;0.89
;Mus;α Mus;12:37:11.06;-69:08:08.03;2.69;-0.18
;Cen;τ Cen;12:37:42.22;-48:32:28.69;3.85;0.05
;Vir;χ Vir;12:39:14.77;-7:59:44.03;4.66;1.24
;Cen;γ Cen;12:41:31.10;-48:57:35.60;2.20;-0.02
Porrima;Vir;γ Vir;12:41:39.64;-1:26:57.75;2.74;0.37
;Vir;ρ Vir;12:41:53.06;10:14:08.25;4.88;0.08
La Superba;CVn;;12:45:07.83;45:26:24.92;5.42;2.99
;Cru;ι Cru;12:45:37.98;-60:58:52.74;4.69;1.05
;Mus;β Mus;12:46:16.85;-68:06:29.23;3.04;-0.18
Tianyi;Dra;;12:47:34.34;66:47:25.09;5.43;1.57
Mimosa;Cru;β Cru;12:47:43.29;-59:41:19.55;1.25;-0.24
;Cru;κ Cru;12:53:48.92;-60:22:34.48;5.89;0.20
Alioth;UMa;ε UMa;12:54:01.70;55:57:35.36;1.76;-0.02
;Vir;ψ Vir;12:54:21.16;-9:32:20.38;4.77;1.59
;Cru;μ1 Cru;12:54:35.64;-57:10:40.53;4.03;-0.18
;Cru;μ2 Cru;12:54:36.90;-57:10:07.21;5.08;-0.09
;Cru;λ Cru;12:54:39.20;-59:08:48.12;4.62;-0.15
;Oct;ι Oct;12:54:58.39;-85:07:24.13;5.45;0.99
Taiyi;Dra;;12:55:28.55;65:26:18.51;5.23;0.30
Minelauva;Vir;δ Vir;12:55:36.21;03:23:50.89;3.39;1.57
;CVn;α1 CVn;12:56:00.48;38:18:53.68;5.61;0.34
Cor Caroli;CVn;α2 CVn;12:56:01.71;38:19:06.17;2.89;-0.12
Vindemiatrix;Vir;ε Vir;13:02:10.60;10:57:32.94;2.85;0.93
;Mus;δ Mus;13:02:15.93;-71:32:55.88;3.61;1.19
;Cen;ξ1 Cen;13:03:33.32;-49:31:38.15;4.83;0.03
;Cen;ξ2 Cen;13:06:54.65;-49:54:22.49;4.27;-0.18
;Mus;θ Mus;13:08:07.16;-65:18:21.68;5.44;-0.03
;Hya;ψ Hya;13:09:03.27;-23:07:05.05;4.94;1.05
;Vir;θ Vir;13:09:56.99;-5:32:20.44;4.38;-0.01
Diadem;Com;α Com;13:09:59.29;17:31:45.95;4.32;0.46
;Com;β Com;13:11:52.45;27:52:41.46;4.23;0.57
;Mus;η Mus;13:15:14.98;-67:53:40.52;4.79;-0.08
;Vir;σ Vir;13:17:36.28;05:28:11.53;4.78;1.64
;Hya;γ Hya;13:18:55.29;-23:10:17.44;2.99;0.92
;Cen;ι Cen;13:20:35.87;-36:42:44.26;2.75;0.07
Mizar;UMa;ζ UMa;13:23:55.49;54:55:31.30;2.23;0.06
;UMa;ζ UMa;13:23:56.39;54:55:13.70;3.95;0.13
;Mus;ι1 Mus;13:25:07.30;-74:53:16.14;5.04;1.11
Spica;Vir;α Vir;13:25:11.58;-11:09:40.76;0.98;-0.23
Alcor;UMa;;13:25:13.49;54:59:16.65;3.99;0.17
;Mus;ι2 Mus;13:27:18.55;-74:41:30.32;6.62;-0.06
Dofida;Cen;;13:32:25.55;-47:16:16.91;7.17;0.60
Liesma;UMa;;13:34:02.57;53:43:42.70;8.05;0.70
Heze;Vir;ζ Vir;13:34:41.59;00:35:44.95;3.38;0.11
;Cen;ε Cen;13:39:53.27;-53:27:59.02;2.29;-0.17
;Oct;κ Oct;13:40:56.13;-85:47:09.75;5.56;0.18
;Boo;τ Boo;13:47:15.76;17:27:24.86;4.50;0.51
Alkaid;UMa;η UMa;13:47:32.47;49:18:47.75;1.85;-0.10
;Boo;υ Boo;13:49:28.64;15:47:52.46;4.05;1.52
;Cen;ν Cen;13:49:30.28;-41:41:15.75;3.41;-0.22
;Cen;μ Cen;13:49:36.99;-42:28:25.44;3.47;-0.17
Muphrid;Boo;η Boo;13:54:41.08;18:23:51.78;2.68;0.58
;Cen;ζ Cen;13:55:32.40;-47:17:18.15;2.55;-0.18
;Cen;φ Cen;13:58:16.27;-42:06:02.71;3.83;-0.22
;Cen;υ1 Cen;13:58:40.75;-44:48:12.90;3.87;-0.21
;Vir;τ Vir;14:01:38.79;01:32:40.32;4.23;0.12
;Cen;υ2 Cen;14:01:43.49;-45:36:12.32;4.34;0.60
Hadar;Cen;β Cen;14:03:49.42;-60:22:22.94;0.61;-0.23
Thuban;Dra;α Dra;14:04:23.39;64:22:33.06;3.67;-0.05
;Aps;θ Aps;14:05:20.05;-76:47:48.31;5.69;1.24
;Cen;χ Cen;14:06:02.77;-41:10:46.68;4.36;-0.20
;Hya;π Hya;14:06:22.29;-26:40:56.50;3.25;1.09
Menkent;Cen;θ Cen;14:06:41.02;-36:22:11.83;2.06;1.01
Kang;Vir;κ Vir;14:12:53.74;-10:16:25.33;4.18;1.32
;Boo;κ1 Boo;14:13:27.79;51:47:16.32;6.62;0.39
;Boo;κ2 Boo;14:13:28.98;51:47:23.87;4.53;0.23
Arcturus;Boo;α Boo;14:15:39.71;19:10:56.68;-0.05;1.24
Syrma;Vir;ι Vir;14:16:00.87;-6:00:01.97;4.07;0.51
;Boo;ι Boo;14:16:09.98;51:22:02.03;4.75;0.24
Xuange;Boo;λ Boo;14:16:23.07;46:05:17.90;4.18;0.09
;Aps;η Aps;14:18:13.96;-81:00:27.94;4.89;0.24
Khambalia;Vir;λ Vir;14:19:06.59;-13:22:15.94;4.52;0.13
;Lup;ι Lup;14:19:24.23;-46:03:29.13;3.55;-0.18
;Vir;υ Vir;14:19:32.48;-2:15:55.86;5.14;1.02
;Cen;ψ Cen;14:20:33.44;-37:53:07.06;4.05;-0.03
;Aps;ε Aps;14:22:23.19;-80:06:32.20;5.06;-0.11
;Boo;θ Boo;14:25:11.88;51:51:02.68;4.04;0.50
;Lup;τ1 Lup;14:26:08.23;-45:13:17.13;4.56;-0.15
;Lup;τ2 Lup;14:26:10.81;-45:22:45.39;4.33;0.43
;Oct;δ Oct;14:26:55.68;-83:40:04.38;4.31;1.30
Elgafar;Vir;φ Vir;14:28:12.14;-2:13:40.65;4.81;0.69
Proxima Centauri;Cen;;14:29:45.55;-62:40:46.15;11.01;1.81
;Boo;ρ Boo;14:31:49.80;30:22:17.17;3.57;1.30
Seginus;Boo;γ Boo;14:32:04.69;38:18:29.71;3.04;0.19
;Lup;σ Lup;14:32:37.06;-50:27:25.77;4.44;-0.18
;Boo;σ Boo;14:34:40.80;29:44:42.47;4.47;0.36
;Cen;η Cen;14:35:30.43;-42:09:28.17;2.33;-0.16
;Lup;ρ Lup;14:37:53.23;-49:25:32.98;4.05;-0.15
Toliman;Cen;α2 Cen;14:39:37.25;-60:50:17.88;1.35;0.90
Rigil Kentaurus;Cen;α1 Cen;14:39:38.75;-60:50:02.31;-0.01;0.71
;Boo;π1 Boo;14:40:43.56;16:25:05.97;4.49;-0.00
;Boo;ζ Boo;14:41:08.95;13:43:41.88;3.78;0.04
;Lup;α Lup;14:41:55.76;-47:23:17.52;2.30;-0.15
;Cir;α Cir;14:42:30.57;-64:58:30.50;3.18;0.26
;Vir;μ Vir;14:43:03.62;-5:39:29.55;3.87;0.38
Izar;Boo;ε Boo;14:44:59.22;27:04:27.20;2.35;0.97
;Boo;ο Boo;14:45:14.46;16:57:51.41;4.60;0.97
Mönch;Vir;;14:47:32.73;00:16:53.31;8.04;0.78
;Aps;α Aps;14:47:51.72;-79:02:41.10;3.83;1.43
Merga;Boo;;14:49:18.67;46:06:58.34;5.76;0.48
;Lib;μ Lib;14:49:19.05;-14:08:56.48;5.32;0.07
;Lib;α1 Lib;14:50:41.18;-15:59:50.05;5.15;0.40
Kochab;UMi;β UMi;14:50:42.38;74:09:19.82;2.07;1.47
Zubenelgenubi;Lib;α2 Lib;14:50:52.72;-16:02:30.40;2.75;0.15
;Boo;ξ Boo;14:51:23.37;19:06:01.66;4.54;0.72
;Lup;ο Lup;14:51:38.31;-43:34:31.29;4.32;-0.15
Arcalís;Boo;;14:53:23.03;18:14:07.44;7.80;1.04
;Lib;ξ1 Lib;14:54:22.87;-11:53:54.05;5.78;0.98
;Cir;ζ Cir;14:54:42.59;-65:59:27.94;6.09;-0.06
;Cir;θ Cir;14:56:43.99;-62:46:51.66;5.08;-0.02
;Lib;ξ2 Lib;14:56:46.11;-11:24:34.92;5.48;1.49
Baekdu;UMi;;14:56:48.33;74:54:03.34;6.83;0.99
;Lup;β Lup;14:58:31.93;-43:08:02.26;2.68;-0.18
;Cen;κ Cen;14:59:09.69;-42:06:15.10;3.13;-0.21
;Lib;δ Lib;15:00:58.35;-8:31:08.19;4.91;0.00
;Oct;π1 Oct;15:01:50.71;-83:13:39.53;5.65;0.96
Nekkar;Boo;β Boo;15:01:56.77;40:23:26.04;3.49;0.96
;Boo;ω Boo;15:02:06.51;25:00:29.30;4.80;1.51
Brachium;Lib;σ Lib;15:04:04.22;-25:16:55.07;3.25;1.67
;Boo;ψ Boo;15:04:26.75;26:56:51.54;4.52;1.24
;Oct;π2 Oct;15:04:46.96;-83:02:17.92;5.65;1.27
;Cir;η Cir;15:04:48.11;-64:01:52.86;5.16;0.94
;Lup;π Lup;15:05:07.09;-47:03:04.48;3.91;-0.14
;Lib;ν Lib;15:06:37.60;-16:15:24.54;5.19;1.59
;Lup;λ Lup;15:08:50.62;-45:16:47.49;4.07;-0.16
;Oct;ω Oct;15:11:08.80;-84:47:16.12;5.88;-0.03
;Lup;κ1 Lup;15:11:56.10;-48:44:16.15;3.88;-0.03
;Lup;κ2 Lup;15:11:57.71;-48:44:37.27;5.70;0.14
;Lib;ι1 Lib;15:12:13.29;-19:47:30.16;4.54;-0.07
;Lup;ζ Lup;15:12:17.14;-52:05:57.29;3.41;0.92
;Lib;ι2 Lib;15:13:19.19;-19:38:51.26;6.07;0.12
;Boo;χ Boo;15:14:29.17;29:09:51.46;5.28;0.06
;Boo;δ Boo;15:15:30.15;33:18:53.40;3.46;0.96
;Cir;δ Cir;15:16:56.90;-60:57:26.12;5.04;-0.08
Zubeneschamali;Lib;β Lib;15:17:00.42;-9:22:58.50;2.61;-0.07
;Cir;β Cir;15:17:30.90;-58:48:04.35;4.07;0.09
;Cir;ε Cir;15:17:38.89;-63:36:37.67;4.85;1.26
;Lup;μ Lup;15:18:32.03;-47:52:30.98;4.27;-0.09
;TrA;γ TrA;15:18:54.65;-68:40:46.36;2.87;0.01
Nikawiy;Boo;;15:19:06.19;41:43:59.55;7.88;0.93
;CrB;ο CrB;15:20:08.57;29:36:58.35;5.51;1.01
Pherkad;UMi;γ UMi;15:20:43.74;71:50:02.46;3.00;0.06
;Lib;ο Lib;15:21:01.38;-15:32:54.03;6.14;0.39
;Lup;δ Lup;15:21:22.32;-40:38:51.06;3.22;-0.23
;Lup;φ1 Lup;15:21:48.38;-36:15:40.95;3.57;1.53
;Lup;ν2 Lup;15:21:48.63;-48:19:03.46;5.65;0.64
;Lup;ν1 Lup;15:22:08.31;-47:55:40.05;4.99;0.51
;Lup;ε Lup;15:22:40.88;-44:41:22.64;3.37;-0.19
;Lup;φ2 Lup;15:23:09.35;-36:51:30.56;4.54;-0.16
;CrB;η CrB;15:23:12.30;30:17:16.12;4.99;0.58
;Cir;γ Cir;15:23:22.65;-59:19:14.83;4.48;0.17
;Lib;ε Lib;15:24:11.89;-10:19:20.16;4.92;0.45
Alkalurops;Boo;μ1 Boo;15:24:29.45;37:22:37.80;4.31;0.31
;Boo;μ2 Boo;15:24:30.89;37:20:50.28;6.51;0.60
;Lup;υ Lup;15:24:45.01;-39:42:36.96;5.36;-0.09
Edasich;Dra;ι Dra;15:24:55.78;58:57:57.83;3.29;1.17
;Ser;τ1 Ser;15:25:47.40;15:25:40.93;5.16;1.65
Nusakan;CrB;β CrB;15:27:49.74;29:06:20.53;3.66;0.32
;Lib;ζ1 Lib;15:28:15.41;-16:42:59.34;5.64;1.54
;Lib;ζ3 Lib;15:30:40.40;-16:36:34.07;5.82;1.06
;Boo;ν1 Boo;15:30:55.76;40:49:58.97;5.04;1.59
;UMi;θ UMi;15:31:25.03;77:20:57.67;5.00;1.54
;Aps;κ1 Aps;15:31:30.82;-73:23:22.53;5.40;-0.15
;Boo;ν2 Boo;15:31:46.98;40:53:57.60;4.98;0.09
;Ser;τ2 Ser;15:32:09.68;16:03:22.21;6.22;-0.04
;Lib;ζ4 Lib;15:32:55.22;-16:51:10.24;5.53;-0.15
;CrB;θ CrB;15:32:55.78;31:21:32.88;4.14;-0.13
Alphecca;CrB;α CrB;15:34:41.26;26:42:52.89;2.22;0.03
;Ser;δ Ser;15:34:48.15;10:32:19.92;3.80;0.27
;Lup;γ Lup;15:35:08.45;-41:10:00.33;2.80;-0.22
;CrB;μ CrB;15:35:14.91;39:00:36.24;5.14;1.65
Zubenelhakrabi;Lib;γ Lib;15:35:31.58;-14:47:22.33;3.91;1.01
;Ser;τ3 Ser;15:35:33.23;17:39:20.00;6.10;0.98
Karaka;Aps;;15:35:40.06;-80:12:16.51;8.71;0.89
;Ser;τ4 Ser;15:36:28.19;15:06:05.13;6.51;1.20
;Ser;τ5 Ser;15:36:29.24;16:07:08.71;5.93;0.35
;TrA;ε TrA;15:36:43.20;-66:19:01.33;4.11;1.16
;Lib;υ Lib;15:37:01.45;-28:08:06.28;3.60;1.36
;Boo;φ Boo;15:37:49.59;40:21:12.36;5.25;0.89
;Lup;ω Lup;15:38:03.24;-42:34:02.45;4.34;1.41
;Lib;τ Lib;15:38:39.37;-29:46:39.91;3.66;-0.18
;CrB;ζ1 CrB;15:39:22.68;36:38:08.92;4.64;-0.10
;Lup;ψ1 Lup;15:39:45.98;-34:24:42.93;4.66;0.96
;Aps;κ2 Aps;15:40:21.35;-73:26:48.07;5.64;-0.04
;Ser;τ6 Ser;15:40:59.10;16:01:28.52;6.00;0.91
;Ser;ι Ser;15:41:33.06;19:40:13.44;4.51;0.06
;Ser;χ Ser;15:41:47.41;12:50:51.10;5.34;0.03
;Ser;τ7 Ser;15:41:54.72;18:27:50.53;5.80;0.21
;Lib;κ Lib;15:41:56.80;-19:40:43.78;4.75;1.57
;Lup;ψ2 Lup;15:42:41.02;-34:42:37.47;4.75;-0.15
;CrB;γ CrB;15:42:44.57;26:17:44.29;3.81;0.02
;Oct;ρ Oct;15:43:16.18;-84:27:54.98;5.57;0.12
;CrB;π CrB;15:43:59.30;32:30:56.91;5.57;1.08
;Ser;ψ Ser;15:44:01.82;02:30:54.62;5.86;0.68
;UMi;ζ UMi;15:44:03.48;77:47:40.17;4.29;0.04
;Lib;η Lib;15:44:04.40;-15:40:22.20;5.41;0.24
Unukalhai;Ser;α Ser;15:44:16.07;06:25:32.26;2.63;1.17
;Ser;τ8 Ser;15:44:42.13;17:15:51.21;6.15;0.00
;Ser;β Ser;15:46:11.25;15:25:18.57;3.65;0.07
;Ser;λ Ser;15:46:26.62;07:21:11.06;4.42;0.60
;Ser;υ Ser;15:47:17.32;14:06:55.25;5.71;0.09
Gudja;Ser;κ Ser;15:48:44.38;18:08:29.63;4.09;1.62
;CrB;δ CrB;15:49:35.65;26:04:06.22;4.59;0.79
;Ser;μ Ser;15:49:37.21;-3:25:48.75;3.54;-0.04
;Ser;ω Ser;15:50:17.55;02:11:47.43;5.21;1.02
;Ser;ε Ser;15:50:48.97;04:28:39.83;3.71;0.15
;Lup;χ Lup;15:50:57.54;-33:37:37.79;3.97;-0.05
;CrB;κ CrB;15:51:13.93;35:39:26.58;4.79;1.00
;Ser;ρ Ser;15:51:15.91;20:58:40.51;4.74;1.53
;Her;χ Her;15:52:40.45;42:27:05.46;4.60;0.56
;Lib;λ Lib;15:53:20.06;-20:10:01.34;5.04;-0.01
;Lib;θ Lib;15:53:49.53;-16:43:45.45;4.13;1.00
;TrA;β TrA;15:55:08.70;-63:25:50.62;2.83;0.31
;TrA;κ TrA;15:55:29.61;-68:36:10.80;5.11;1.11
;CrB;λ CrB;15:55:47.58;37:56:49.05;5.43;0.35
;Ser;γ Ser;15:56:27.18;15:39:41.82;3.85;0.48
Iklil;Sco;ρ Sco;15:56:53.08;-29:12:50.66;3.87;-0.20
;Lup;ξ1 Lup;15:56:53.49;-33:57:58.08;5.14;0.13
;Lup;ξ2 Lup;15:56:54.12;-33:57:51.41;5.59;0.07
;Ser;φ Ser;15:57:14.57;14:24:52.13;5.54;1.14
;CrB;ε CrB;15:57:35.26;26:52:40.37;4.14;1.23
Fang;Sco;π Sco;15:58:51.11;-26:06:50.78;2.89;-0.18
;Lup;η Lup;16:00:07.33;-38:23:48.14;3.42;-0.21
Dschubba;Sco;δ Sco;16:00:20.01;-22:37:18.16;2.29;-0.12
;CrB;ρ CrB;16:01:02.68;33:18:12.63;5.39;0.61
;CrB;ι CrB;16:01:26.57;29:51:03.82;4.98;-0.05
;Dra;θ Dra;16:01:53.52;58:33:54.90;4.01;0.53
;Ser;π Ser;16:02:17.69;22:48:16.03;4.82;0.07
;Her;υ Her;16:02:47.88;46:02:12.14;4.72;-0.09
;Nor;η Nor;16:03:12.88;-49:13:46.90;4.65;0.90
;Nor;ι1 Nor;16:03:32.15;-57:46:30.23;4.63;0.25
Graffias;Sco;ξ Sco;16:04:21.99;-11:22:28.60;4.84;0.45
Acrab;Sco;β1 Sco;16:05:26.23;-19:48:19.63;2.56;-0.06
;Sco;β2 Sco;16:05:26.56;-19:48:06.70;4.90;-0.02
;Nor;δ Nor;16:06:29.43;-45:10:23.47;4.73;0.23
;Lup;θ Lup;16:06:35.55;-36:48:08.24;4.22;-0.18
;Sco;ω1 Sco;16:06:48.43;-20:40:09.09;3.93;-0.05
;Sco;ω2 Sco;16:07:24.33;-20:52:07.55;4.31;0.83
Marsic;Her;κ Her;16:08:04.53;17:02:49.13;5.00;0.93
;Her;κ Her;16:08:04.96;17:03:15.78;6.25;1.14
;Her;φ Her;16:08:46.18;44:56:05.66;4.23;-0.05
;CrB;τ CrB;16:08:58.30;36:29:27.40;4.73;1.01
;Nor;ι2 Nor;16:09:18.55;-57:56:03.54;5.57;-0.02
Kamuy;CrB;;16:10:03.91;26:44:33.90;6.57;1.04
Jabbah;Sco;ν Sco;16:11:59.73;-19:27:38.55;4.00;0.08
;Sco;ψ Sco;16:11:59.99;-10:03:51.31;4.93;0.09
Sharjah;Sco;;16:12:41.77;-18:52:31.81;11.34;1.49
;Nor;ζ Nor;16:13:22.74;-55:32:27.41;5.78;0.37
;Nor;κ Nor;16:13:28.73;-54:37:49.68;4.95;1.02
;Sco;χ Sco;16:13:50.91;-11:50:15.89;5.24;1.39
Yed Prior;Oph;δ Oph;16:14:20.74;-3:41:39.56;2.73;1.58
;CrB;σ CrB;16:14:40.88;33:51:31.01;5.23;0.60
;Nor;θ Nor;16:15:15.33;-47:22:19.28;5.13;-0.11
;TrA;δ TrA;16:15:26.27;-63:41:08.46;3.86;1.11
;CrB;υ CrB;16:16:44.79;29:09:00.94;5.80;0.06
;Nor;γ1 Nor;16:17:00.93;-50:04:05.24;4.97;0.79
;UMi;η UMi;16:17:30.45;75:45:19.19;4.95;0.39
Yed Posterior;Oph;ε Oph;16:18:19.29;-4:41:33.04;3.23;0.97
;Nor;λ Nor;16:19:17.64;-42:40:26.27;5.44;0.10
;Her;τ Her;16:19:44.44;46:18:48.12;3.91;-0.15
;Nor;γ2 Nor;16:19:50.47;-50:09:19.83;4.01;1.08
;Aps;δ1 Aps;16:20:20.83;-78:41:44.68;4.68;1.68
;Aps;δ2 Aps;16:20:26.86;-78:40:02.99;5.27;1.41
Hunor;Her;;16:20:36.36;41:02:53.10;8.72;0.46
;Sco;ο Sco;16:20:38.18;-24:10:09.55;4.55;0.76
Alniyat;Sco;σ Sco;16:21:11.31;-25:35:34.07;2.90;0.30
;Her;γ Her;16:21:55.22;19:09:11.27;3.74;0.30
;Ser;σ Ser;16:22:04.35;01:01:44.54;4.82;0.34
;CrB;ξ CrB;16:22:05.83;30:53:31.19;4.86;0.97
;CrB;ν1 CrB;16:22:21.42;33:47:56.59;5.20;1.63
;CrB;ν2 CrB;16:22:29.22;33:42:12.52;5.40;1.52
Athebyne;Dra;η Dra;16:23:59.50;61:30:51.17;2.73;0.91
;Oph;ψ Oph;16:24:06.18;-20:02:14.38;4.48;1.00
Cujam;Her;ω Her;16:25:24.95;14:01:59.77;4.57;0.00
;Oph;ρ Oph;16:25:35.12;-23:26:49.84;4.57;0.23
;Oph;χ Oph;16:27:01.44;-18:27:22.50;4.22;0.22
;Nor;ε Nor;16:27:11.04;-47:33:17.23;4.46;-0.07
;Oph;υ Oph;16:27:48.19;-8:22:18.23;4.62;0.19
;TrA;ι TrA;16:27:57.30;-64:03:28.59;5.28;0.38
;TrA;ζ TrA;16:28:27.92;-70:05:03.84;4.90;0.56
Timir;Oph;;16:28:28.15;-13:23:58.70;6.89;0.95
Antares;Sco;α Sco;16:29:24.46;-26:25:55.21;1.06;1.87
Kornephoros;Her;β Her;16:30:13.20;21:29:22.61;2.78;0.95
Wolf 1061;Oph;;16:30:18.06;-12:39:45.34;10.10;1.60
Ogma;Her;;16:30:29.63;38:20:50.32;8.15;0.61
Marfik;Oph;λ Oph;16:30:54.82;01:59:02.12;3.82;0.02
;Oph;φ Oph;16:31:08.37;-16:36:45.84;4.29;0.92
;Oph;ω Oph;16:32:08.20;-21:27:59.00;4.45;0.13
Rosalíadecastro;Oph;;16:32:51.05;02:05:05.40;7.89;0.68
