type;constellation;names;nicknames;ra;dec;mag_v;mag_b;major_axis;minor_axis;angle
g;eri;NGC1126;;02:52:18.63;-1:17:45.60;;15.32;0.95;0.23;139
g;ari;NGC1127;;02:52:51.84;13:15:23.10;;16.17;0.69;0.49;36
gpair;cet;NGC1128;;02:57:41.57;06:01:28.80;;;0.80;;
g;cet;NGC1128 NED01;;02:57:41.65;06:01:21.90;;14.70;0.55;0.55;
g;cet;NGC1128 NED02;;02:57:41.56;06:01:36.90;12.70;13.86;0.76;0.76;
g;per;NGC1129;;02:54:27.38;41:34:46.50;13.60;13.69;2.82;1.07;77
g;per;NGC1130;;02:54:24.38;41:36:20.20;;15.56;0.69;0.41;36
g;per;NGC1131;;02:54:33.98;41:33:32.50;;15.40;0.54;0.46;105
g;eri;NGC1132;;02:52:51.91;-1:16:28.90;12.30;13.29;1.91;0.71;142
g;eri;NGC1133;;02:52:42.19;-8:48:15.80;;14.87;0.97;0.71;71
g;ari;NGC1134;;02:53:41.34;13:00:50.90;;13.09;2.21;0.76;147
g;hor;NGC1135;;02:50:47.22;-54:55:46.50;;16.17;0.71;0.42;59
g;hor;NGC1136;;02:50:53.70;-54:58:33.30;12.97;13.76;1.44;1.19;77
g;cet;NGC1137;;02:54:02.73;02:57:43.50;12.84;13.48;1.10;0.61;16
g;per;NGC1138;;02:56:36.44;43:02:50.50;;14.05;1.73;1.49;95
g;eri;NGC1139;;02:52:46.81;-14:31:45.60;;15.91;1.02;0.35;43
g;eri;NGC1140;;02:54:33.58;-10:01:39.90;12.43;12.78;2.04;1.00;8
g;cet;NGC1143|NGC1141;;02:55:09.71;00:10:40.30;;14.27;1.22;0.68;111
g;cet;NGC1144|NGC1142;;02:55:12.20;00:11:00.80;13.96;13.77;1.08;0.74;118
g;eri;NGC1145;;02:54:33.51;-18:38:06.30;12.47;13.63;3.36;0.76;61
g;eri;NGC1148;;02:57:04.37;-7:41:08.30;;14.57;1.31;0.68;75
g;cet;NGC1149;;02:57:23.87;00:18:33.90;;15.04;0.71;0.51;122
g;eri;NGC1150;;02:57:01.39;-15:02:54.30;;15.03;1.06;0.70;64
g;eri;NGC1151;;02:57:04.63;-15:00:46.90;;15.92;0.55;0.45;54
g;eri;NGC1152;;02:57:33.63;-7:45:31.80;;14.32;1.30;0.76;5
g;cet;NGC1153;;02:58:10.28;03:21:42.90;;13.46;1.23;0.85;53
g;eri;NGC1154;;02:58:07.67;-10:21:47.90;;13.92;1.02;0.59;90
g;eri;NGC1155;;02:58:13.09;-10:21:02.10;;14.15;1.10;0.87;75
g;ari;NGC1156;;02:59:42.30;25:14:16.20;11.63;12.06;2.96;2.34;28
g;eri;NGC1157;;02:58:06.68;-15:07:06.70;;15.50;0.72;0.32;171
g;eri;NGC1158;;02:57:11.46;-14:23:43.90;;15.92;0.95;0.61;147
g;per;NGC1159;;03:00:46.52;43:09:45.20;;14.21;0.48;0.40;115
g;per;NGC1160;;03:01:13.25;44:57:19.50;12.82;13.50;2.38;1.10;51
g;per;NGC1161;;03:01:14.13;44:53:50.40;11.89;12.13;2.69;1.84;23
g;eri;NGC1162;;02:58:56.00;-12:23:54.90;;13.87;1.59;1.47;50
g;eri;NGC1163;;03:00:22.09;-17:09:09.10;13.80;14.72;2.26;0.36;144
g;per;NGC1164;;03:01:59.85;42:35:05.80;;14.51;1.18;0.93;132
g;for;NGC1165;;02:58:47.69;-32:05:57.10;;13.78;2.31;0.50;114
g;ari;NGC1166;;03:00:35.00;11:50:34.00;;15.35;0.98;0.80;75
g;per;NGC1167;;03:01:42.37;35:12:20.70;12.64;13.46;1.82;1.38;70
g;ari;NGC1168;;03:00:47.02;11:46:20.30;;15.35;0.98;0.38;24
g;per;NGC1169;;03:03:34.75;46:23:10.90;11.41;12.35;3.31;1.95;39
g;per;NGC1171;;03:03:58.99;43:23:53.90;;13.50;1.77;0.81;147
g;eri;NGC1172;;03:01:36.05;-14:50:11.70;11.75;12.76;2.28;1.64;30
g;per;NGC1174|NGC1186;;03:05:30.86;42:50:07.80;;12.35;3.58;1.43;121
g;per;NGC1175;;03:04:32.35;42:20:21.50;12.80;13.84;1.76;0.55;154
g;per;NGC1177|IC0281;;03:04:37.13;42:21:46.20;;15.68;0.60;0.60;105
g;eri;NGC1179;;03:02:38.48;-18:53:52.00;12.00;12.67;3.67;2.51;38
g;eri;NGC1180;;03:01:51.04;-15:01:47.40;;15.76;0.66;0.40;8
g;eri;NGC1181;;03:01:42.76;-15:03:08.40;;16.27;0.86;0.20;101
g;eri;NGC1182|NGC1205;;03:03:28.44;-9:40:13.20;;14.79;0.82;0.39;116
g;cep;NGC1184;;03:16:45.03;80:47:36.00;12.19;13.10;3.54;0.87;169
g;eri;NGC1185;;03:02:59.48;-9:07:55.70;;14.46;1.36;0.40;30
g;eri;NGC1187;;03:02:37.59;-22:52:01.80;10.92;11.37;4.14;3.02;129
g;eri;NGC1188;;03:03:43.37;-15:29:04.50;;14.61;1.21;0.56;171
g;eri;NGC1189;;03:03:24.47;-15:37:24.50;;14.42;1.42;0.47;179
g;eri;NGC1190;;03:03:26.13;-15:39:42.80;;15.16;0.76;0.29;98
g;eri;NGC1191;;03:03:30.89;-15:41:07.10;;15.28;0.76;0.56;61
g;eri;NGC1192;;03:03:34.63;-15:40:43.80;;15.36;0.80;0.40;105
cl;per;NGC1193;;03:05:55.67;44:22:59.20;12.60;;2.40;;
g;cet;NGC1194;;03:03:49.11;-1:06:13.50;13.80;13.86;1.55;0.77;139
g;eri;NGC1195;;03:03:32.81;-12:02:23.20;;15.11;0.64;0.53;84
g;eri;NGC1196;;03:03:35.20;-12:04:34.70;;14.09;1.54;1.41;100
g;per;NGC1198|IC0282;;03:06:13.24;41:50:56.20;;13.95;2.05;1.00;117
g;eri;NGC1199;;03:03:38.41;-15:36:47.50;11.43;12.39;2.83;2.32;48
g;eri;NGC1200;;03:03:54.48;-11:59:30.50;;13.80;2.91;1.88;84
g;for;NGC1201;;03:04:07.98;-26:04:10.70;10.81;11.70;3.41;1.96;8
g;eri;NGC1202;;03:05:02.53;-6:29:29.80;;15.22;0.65;0.53;113
gpair;eri;NGC1203;;03:05:14.20;-14:22:44.00;;;1.13;;
g;eri;NGC1203A;;03:05:14.10;-14:22:52.00;;15.01;0.83;0.42;15
g;eri;NGC1203B;;03:05:14.30;-14:22:40.00;;16.00;0.58;0.58;6
g;eri;NGC1204;;03:04:39.92;-12:20:29.00;;14.21;1.52;0.54;62
g;eri;NGC1206;;03:06:09.74;-8:49:59.40;;15.93;0.75;0.65;42
g;per;NGC1207;;03:08:15.49;38:22:55.80;;13.61;1.68;1.18;131
g;eri;NGC1208;;03:06:11.91;-9:32:29.10;;13.35;2.19;1.24;73
g;eri;NGC1209;;03:06:03.02;-15:36:40.50;11.38;12.35;2.25;0.94;83
g;for;NGC1210;;03:06:45.36;-25:42:59.20;12.71;13.52;1.16;0.68;118
g;cet;NGC1211;;03:06:52.42;00:47:40.10;12.35;13.27;1.49;0.95;163
g;per;NGC1212|IC1883;;03:09:42.23;40:53:35.10;;16.00;0.89;0.47;21
g;per;NGC1213|IC1881;;03:09:17.31;38:38:58.00;;15.65;0.94;0.76;14
g;eri;NGC1214;;03:06:56.02;-9:32:39.00;;14.97;1.58;0.42;42
g;eri;NGC1215;;03:07:09.46;-9:35:33.60;;14.98;1.67;1.21;50
g;eri;NGC1216;;03:07:18.54;-9:36:46.10;;15.86;0.90;0.22;67
g;for;NGC1217;;03:06:06.02;-39:02:11.00;13.30;13.47;1.88;1.30;32
g;cet;NGC1218;;03:08:26.22;04:06:39.30;13.16;13.96;1.35;1.06;155
g;cet;NGC1219;;03:08:27.97;02:06:30.90;12.99;13.81;1.18;1.04;42
cl;per;NGC1220;;03:11:40.67;53:20:53.40;11.80;;2.40;;
g;eri;NGC1221;;03:08:15.53;-4:15:34.10;;14.60;1.46;0.53;168
g;eri;NGC1222;;03:08:56.74;-2:57:18.50;12.55;13.15;1.57;0.95;153
g;eri;NGC1223;;03:08:19.93;-4:08:18.20;;13.93;1.34;1.29;175
g;per;NGC1224;;03:11:13.55;41:21:49.30;;15.43;1.36;1.03;180
g;eri;NGC1225;;03:08:47.22;-4:06:05.60;;14.85;1.24;0.60;153
g;per;NGC1226;;03:11:05.35;35:23:12.60;;14.47;1.23;0.94;103
g;per;NGC1227;;03:11:07.73;35:19:29.50;;15.68;0.66;0.44;77
g;eri;NGC1228;;03:08:11.74;-22:55:22.30;;14.31;1.52;0.71;77
g;eri;NGC1229;;03:08:10.79;-22:57:38.90;14.45;14.87;1.02;0.60;75
g;eri;NGC1230;;03:08:16.40;-22:59:02.40;;15.52;0.69;0.22;110
g;eri;NGC1231;;03:06:29.30;-15:34:08.70;;15.00;0.98;0.84;90
g;eri;NGC1232;Eye of God Galaxy;03:09:45.51;-20:34:45.50;10.11;10.56;6.79;5.77;101
g;eri;NGC1232A;;03:10:01.90;-20:36:02.00;;15.29;0.85;0.79;2
g;per;NGC1233|NGC1235;;03:12:33.11;39:19:08.10;13.16;14.01;1.51;0.46;29
g;eri;NGC1234;;03:09:39.09;-7:50:46.30;;15.24;1.58;0.82;119
g;ari;NGC1236;;03:11:27.99;10:48:29.80;;15.73;0.66;0.48;30
g;eri;NGC1238;;03:10:52.71;-10:44:53.00;;14.33;1.53;1.20;109
g;eri;NGC1239;;03:10:53.72;-2:33:11.30;;14.61;1.23;0.81;59
g;eri;NGC1241;;03:11:14.64;-8:55:19.70;12.63;13.03;2.70;1.50;149
g;eri;NGC1242;;03:11:19.32;-8:54:08.70;13.71;14.32;1.06;0.54;134
g;hor;NGC1244;;03:06:31.09;-66:46:32.20;;13.92;1.44;0.36;2
cl;per;NGC1245;;03:14:41.46;47:14:19.30;8.40;9.16;11.40;;
g;hor;NGC1246;;03:07:02.09;-66:56:19.10;;13.89;1.42;0.76;36
g;eri;NGC1247;;03:12:14.32;-10:28:52.00;12.48;13.47;3.55;0.52;70
g;eri;NGC1248;;03:12:48.56;-5:13:28.90;12.67;13.53;1.21;1.06;96
g;hor;NGC1249;;03:10:01.23;-53:20:08.70;11.77;12.18;3.64;1.44;83
g;per;NGC1250;;03:15:21.10;41:21:19.50;12.83;13.97;2.33;0.80;158
cl;hor;NGC1252;;03:10:44.30;-57:45:31.00;;;7.20;;
g;eri;NGC1253;;03:14:09.05;-2:49:22.60;11.78;12.25;4.57;1.86;85
g;eri;NGC1253A;;03:14:23.30;-2:48:03.00;13.80;14.23;1.01;0.66;90
g;cet;NGC1254;;03:14:24.05;02:40:38.50;;15.42;0.98;0.77;12
g;for;NGC1255;;03:13:32.04;-25:43:30.60;11.17;11.60;4.05;2.24;118
g;eri;NGC1256;;03:13:58.27;-21:59:11.10;13.55;14.51;1.13;0.41;107
g;eri;NGC1258;;03:14:05.47;-21:46:27.40;;13.95;1.41;1.04;20
g;per;NGC1259;;03:17:17.28;41:23:07.80;;15.21;0.95;0.68;81
g;per;NGC1260;;03:17:27.24;41:24:18.80;;14.30;1.29;0.50;86
cl;hor;NGC1261;;03:12:15.34;-55:13:00.50;8.63;9.79;5.10;;
g;eri;NGC1262;;03:15:33.58;-15:52:45.50;14.20;14.99;0.95;0.80;153
g;eri;NGC1263;;03:15:39.56;-15:05:53.90;;14.99;0.86;0.76;70
g;per;NGC1264;;03:17:59.57;41:31:13.00;;15.24;1.00;0.89;59
g;per;NGC1265;;03:18:15.66;41:51:27.90;11.92;13.04;1.90;1.63;165
g;eri;NGC1266;;03:16:00.75;-2:25:38.50;;14.39;1.48;0.99;103
g;per;NGC1267;;03:18:44.92;41:28:03.80;12.98;14.08;1.12;0.86;57
g;per;NGC1268;;03:18:45.16;41:29:19.30;;14.84;0.96;0.49;118
g;eri;NGC1269|NGC1291;Snow Collar Galaxy;03:17:18.59;-41:06:29.00;8.70;9.42;11.17;9.93;156
g;per;NGC1270;;03:18:58.15;41:28:12.00;13.03;14.22;1.05;0.97;0
g;per;NGC1271;;03:19:11.28;41:21:11.70;;15.10;0.81;0.51;123
g;per;NGC1272;;03:19:21.29;41:29:26.30;11.88;12.96;2.55;1.25;76
g;per;NGC1273;;03:19:26.74;41:32:25.90;13.16;14.28;0.89;0.70;135
g;per;NGC1274;;03:19:40.55;41:32:55.10;;15.09;0.78;0.49;44
g;per;NGC1275;;03:19:48.16;41:30:42.10;12.24;12.61;2.16;1.45;110
g;per;NGC1277;;03:19:51.49;41:34:24.70;13.51;14.63;0.97;0.67;96
g;per;NGC1278|IC1907;;03:19:54.15;41:33:48.20;12.45;13.60;1.43;1.30;90
g;per;NGC1279;;03:19:59.07;41:28:46.30;;17.23;0.58;0.39;15
g;cet;NGC1280;;03:17:57.07;00:10:08.70;13.41;14.09;0.92;0.69;62
g;per;NGC1281;;03:20:06.11;41:37:48.10;13.35;14.52;0.78;0.42;68
g;per;NGC1282;;03:20:12.12;41:22:01.20;12.88;13.87;1.39;1.07;27
g;per;NGC1283;;03:20:15.52;41:23:55.20;13.61;14.76;0.93;0.79;68
g;eri;NGC1284;;03:17:45.51;-10:17:20.70;;14.36;1.87;1.22;15
g;eri;NGC1285;;03:17:53.43;-7:17:52.10;;13.59;1.59;0.88;8
g;eri;NGC1286;;03:17:48.53;-7:37:00.70;;14.74;0.98;0.79;154
g;eri;NGC1287;;03:18:33.47;-2:43:51.00;;14.72;0.76;0.68;40
g;for;NGC1288;;03:17:13.19;-32:34:33.20;12.17;12.85;2.32;1.71;178
g;eri;NGC1289|IC0314;;03:18:49.81;-1:58:24.00;12.57;13.49;1.75;1.00;97
g;eri;NGC1290;;03:19:25.17;-13:59:22.60;;15.40;0.71;0.52;83
g;for;NGC1292;;03:18:14.89;-27:36:37.20;12.13;12.82;2.93;1.20;9
g;per;NGC1293;;03:21:36.46;41:23:34.20;13.39;14.50;0.86;0.86;0
g;per;NGC1294;;03:21:39.96;41:21:38.00;13.26;14.34;1.38;1.09;167
g;eri;NGC1295;;03:20:03.30;-13:59:53.70;;15.01;0.99;0.53;175
g;eri;NGC1296;;03:18:49.71;-13:03:44.80;;14.76;0.90;0.45;2
g;eri;NGC1297;;03:19:14.22;-19:06:00.00;14.70;13.09;2.40;2.01;6
g;eri;NGC1298;;03:20:13.08;-2:06:50.80;13.96;14.90;1.04;0.92;68
g;eri;NGC1299;;03:20:09.68;-6:15:43.20;;13.60;1.21;0.67;49
g;eri;NGC1300;;03:19:41.08;-19:24:40.90;10.52;11.21;5.96;3.06;101
g;eri;NGC1301;;03:20:35.33;-18:42:55.20;13.40;14.13;2.38;0.51;141
g;for;NGC1302;;03:19:51.18;-26:03:37.60;10.63;11.59;4.27;3.90;170
g;eri;NGC1303;;03:20:40.79;-7:23:39.90;;14.73;1.12;0.80;20
g;eri;NGC1304|NGC1307;;03:21:12.78;-4:35:02.70;;14.39;1.33;0.70;59
g;eri;NGC1305;;03:21:22.97;-2:19:00.60;11.97;12.90;1.33;0.94;117
g;for;NGC1306;;03:21:02.99;-25:30:45.20;;13.76;1.10;0.64;159
g;eri;NGC1308;;03:22:28.54;-2:45:25.70;;14.70;1.15;0.86;88
g;eri;NGC1309;;03:22:06.56;-15:24:00.20;11.58;11.96;2.39;2.24;175
g;for;NGC1310;;03:21:03.43;-37:06:06.10;12.10;12.57;2.11;1.58;98
g;hor;NGC1311;;03:20:06.96;-52:11:07.90;12.94;13.40;3.20;0.78;37
g;ret;NGC1313;Topsy Turvy Galaxy;03:18:16.05;-66:29:53.70;9.49;9.65;11.07;9.14;27
g;ret;NGC1313A;;03:20:05.70;-66:42:04.00;;14.73;1.25;0.33;30
g;eri;NGC1314;;03:22:41.16;-4:11:11.60;;14.86;1.47;1.30;51
g;eri;NGC1315;;03:23:06.59;-21:22:30.60;;13.65;1.62;1.35;161
g;for;NGC1316;;03:22:41.72;-37:12:29.60;8.48;9.41;13.46;7.71;50
g;for;NGC1316A;;03:23:37.90;-36:54:14.00;;14.67;1.04;0.58;63
g;for;NGC1316B;;03:23:39.60;-36:54:30.00;;15.10;0.66;0.33;8
g;for;NGC1316C;;03:24:58.40;-37:00:34.00;;14.29;1.47;0.64;84
g;for;NGC1317|NGC1318;;03:22:44.29;-37:06:13.30;10.88;11.85;3.10;2.58;69
g;eri;NGC1319;;03:23:56.46;-21:31:39.80;;13.94;1.46;0.71;29
g;eri;NGC1320;;03:24:48.70;-3:02:32.20;13.38;13.33;1.86;0.68;137
g;eri;NGC1321;;03:24:48.57;-3:00:56.10;;13.67;0.97;0.71;88
g;eri;NGC1322;;03:24:54.71;-2:55:09.20;;14.35;1.12;0.80;98
g;eri;NGC1323;;03:24:56.08;-2:49:19.50;;16.02;0.71;0.29;91
g;eri;NGC1324;;03:25:01.68;-5:44:44.90;;13.40;2.37;0.69;141
g;eri;NGC1325;;03:24:25.57;-21:32:38.50;11.54;12.25;4.32;1.50;53
g;eri;NGC1325A;;03:24:48.50;-21:20:10.00;12.84;13.40;1.90;1.78;90
g;for;NGC1326;;03:23:56.40;-36:27:52.80;10.45;11.40;4.28;2.93;67
g;for;NGC1326A;;03:25:08.50;-36:21:50.00;;14.05;2.10;1.34;62
g;for;NGC1326B;;03:25:20.30;-36:23:06.00;13.27;13.68;3.87;1.88;130
g;for;NGC1327;;03:25:23.11;-25:40:49.00;;15.47;1.14;0.40;175
g;eri;NGC1328;;03:25:39.10;-4:07:29.80;;14.73;0.98;0.69;108
g;eri;NGC1329;;03:26:02.59;-17:35:29.40;12.65;13.49;1.58;1.27;33
g;eri;NGC1331|IC0324;;03:26:28.29;-21:21:19.10;13.42;14.30;0.92;0.79;11
g;eri;NGC1332;;03:26:17.25;-21:20:06.80;10.36;11.20;5.31;3.84;121
cl+n;per;NGC1333;Embryo Nebula;03:28:55.20;31:22:12.00;;10.90;19.50;;
g;per;NGC1334;;03:30:01.84;41:49:55.30;;14.73;1.24;0.51;118
g;per;NGC1335;;03:30:19.49;41:34:21.90;;15.66;0.90;0.50;168
g;for;NGC1336;;03:26:32.19;-35:42:48.80;12.31;13.15;1.97;1.41;15
g;eri;NGC1337;;03:28:05.96;-8:23:19.00;12.86;12.44;4.94;1.31;153
g;eri;NGC1338;;03:28:54.55;-12:09:12.10;;14.00;1.31;1.24;165
g;for;NGC1339;;03:28:06.58;-32:17:10.00;11.75;12.53;2.01;1.47;172
g;for;NGC1340|NGC1344;;03:28:19.67;-31:04:05.40;10.37;11.22;5.12;3.12;167
g;for;NGC1341;;03:27:58.42;-37:09:00.00;12.42;12.93;1.42;1.07;121
cl;per;NGC1342;Stingray Cluster|Little Scorpion Cluster;03:31:40.12;37:22:45.80;6.70;7.35;6.30;;
g;cas;NGC1343;;03:37:49.70;72:34:16.80;12.37;13.67;2.38;1.06;79
g;eri;NGC1345;;03:29:31.69;-17:46:42.20;13.75;14.33;1.34;1.10;30
g;eri;NGC1346;;03:30:13.27;-5:32:35.90;16.39;13.75;1.44;0.54;84
gpair;eri;NGC1347;;03:29:41.50;-22:17:06.00;;;1.80;;
g;eri;NGC1347 NED01;;03:29:41.80;-22:16:44.90;;13.77;0.98;0.93;81
g;eri;NGC1347 NED02;;03:29:41.19;-22:17:27.60;;16.20;0.56;0.38;42
cl;per;NGC1348;;03:34:08.49;51:25:13.90;;;3.60;;
g;tau;NGC1349;;03:31:27.50;04:22:51.00;13.09;14.22;0.91;0.91;40
g;for;NGC1350;;03:31:08.12;-33:37:43.10;10.31;11.15;5.18;2.60;11
g;for;NGC1351;;03:30:34.98;-34:51:14.20;11.46;12.44;3.40;2.20;139
g;for;NGC1351A;;03:28:48.70;-35:10:41.00;;13.81;2.49;0.65;129
g;eri;NGC1352;;03:31:32.98;-19:16:42.40;13.35;14.29;1.15;0.75;128
g;eri;NGC1353;;03:32:03.02;-20:49:09.00;11.46;12.36;3.64;1.47;138
g;eri;NGC1354;;03:32:29.37;-15:13:16.10;;13.46;2.62;0.97;148
g;eri;NGC1355;;03:33:23.50;-4:59:55.30;13.19;14.15;1.73;0.31;77
g;hor;NGC1356;;03:30:40.79;-50:18:34.60;13.14;13.84;1.17;1.02;167
g;eri;NGC1357;;03:33:17.08;-13:39:50.90;11.44;12.40;3.37;2.55;76
g;eri;NGC1358;;03:33:39.67;-5:05:21.80;12.78;13.20;2.13;1.17;125
g;eri;NGC1359;;03:33:47.71;-19:29:31.40;12.35;12.72;1.46;1.21;109
pn;for;NGC1360;Robins Egg Nebula;03:33:14.65;-25:52:18.20;9.40;9.60;6.42;;
g;eri;NGC1361;;03:34:17.74;-6:15:54.00;;14.68;1.24;0.84;44
g;eri;NGC1362;;03:33:53.08;-20:16:57.50;;13.78;1.30;1.17;20
g;eri;NGC1363;;03:34:49.57;-9:50:32.90;;13.96;0.90;0.76;90
g;eri;NGC1364;;03:34:58.98;-9:50:19.10;;15.38;0.57;0.51;127
g;for;NGC1365;Dipterous Galaxy;03:33:36.37;-36:08:25.40;10.10;10.36;12.02;6.14;20
g;for;NGC1366;;03:33:53.68;-31:11:38.80;11.91;12.80;2.05;0.94;4
g;for;NGC1367|NGC1371;;03:35:01.34;-24:55:59.60;10.66;11.59;4.88;3.26;134
g;eri;NGC1368;;03:34:58.90;-15:39:21.30;;15.23;1.15;0.49;119
g;eri;NGC1369;;03:36:45.25;-36:15:22.40;;13.69;2.22;1.73;9
g;eri;NGC1370;;03:35:14.57;-20:22:25.20;;13.54;1.49;0.85;50
g;eri;NGC1372;;03:36:59.74;-15:52:53.30;;15.35;0.70;0.65;50
g;for;NGC1373;;03:34:59.21;-35:10:16.00;13.26;14.12;1.20;1.14;110
g;for;NGC1374;;03:35:16.59;-35:13:34.50;11.14;12.01;2.86;2.65;120
g;for;NGC1375;;03:35:16.82;-35:15:56.40;12.39;13.17;2.28;1.00;90
g;eri;NGC1376;;03:37:05.92;-5:02:33.90;;12.85;1.86;1.79;30
g;eri;NGC1377;;03:36:39.08;-20:54:08.10;;13.49;2.07;0.95;92
g;for;NGC1379;;03:36:03.95;-35:26:28.30;11.02;11.84;2.66;2.55;65
g;for;NGC1380;;03:36:27.59;-34:58:34.40;9.94;10.89;4.58;2.22;6
g;for;NGC1380A;;03:36:47.50;-34:44:23.00;12.39;13.29;2.76;0.78;176
g;for;NGC1381;;03:36:31.68;-35:17:42.70;11.47;12.42;2.54;0.96;139
g;for;NGC1382|NGC1380B;;03:37:08.96;-35:11:42.10;12.86;13.81;1.99;1.36;23
g;eri;NGC1383;;03:37:39.24;-18:20:22.10;12.50;13.48;2.00;0.82;85
g;tau;NGC1384;;03:39:13.59;15:49:10.40;;15.55;0.76;0.46;151
g;for;NGC1385;;03:37:28.85;-24:30:01.10;11.03;11.46;3.40;2.13;3
g;eri;NGC1386;;03:36:46.18;-35:59:57.90;11.86;12.07;3.59;1.35;25
g;for;NGC1387;;03:36:57.06;-35:30:23.90;10.75;11.77;3.01;2.89;110
g;eri;NGC1388;;03:38:12.01;-15:53:57.90;;14.84;0.85;0.80;150
g;eri;NGC1389;;03:37:11.78;-35:44:44.10;11.51;12.42;2.58;1.43;28
g;eri;NGC1390;;03:37:52.17;-19:00:30.10;14.07;14.89;1.45;0.51;21
g;eri;NGC1391;;03:38:52.96;-18:21:14.80;13.35;14.38;1.21;0.61;65
g;eri;NGC1392;;03:37:47.01;-36:08:50.70;;16.95;0.30;0.21;35
g;eri;NGC1393;;03:38:38.58;-18:25:40.70;12.06;13.01;1.88;1.22;161
g;eri;NGC1394;;03:39:06.92;-18:17:32.20;12.82;13.83;1.51;0.59;5
g;eri;NGC1395;;03:38:29.75;-23:01:39.10;9.65;10.60;4.71;3.97;105
g;for;NGC1396;;03:38:06.54;-35:26:24.40;14.88;14.81;0.92;0.54;90
g;eri;NGC1397;;03:39:47.15;-4:40:12.40;;14.70;0.96;0.68;172
g;for;NGC1398;;03:38:52.13;-26:20:16.20;9.55;10.55;6.95;4.91;100
g;for;NGC1399;;03:38:29.03;-35:27:02.40;9.40;10.42;8.51;7.69;150
g;eri;NGC1400;;03:39:30.84;-18:41:17.10;11.06;11.93;2.81;2.52;43
g;eri;NGC1401;;03:39:21.85;-22:43:28.90;12.29;13.11;2.45;0.90;132
g;eri;NGC1402;;03:39:30.57;-18:31:37.00;13.54;14.33;0.87;0.83;90
g;eri;NGC1403;;03:39:10.84;-22:23:19.50;12.74;13.65;1.52;1.34;165
g;eri;NGC1404;;03:38:51.92;-35:35:39.80;9.93;10.89;5.01;4.38;163
g;eri;NGC1405;;03:40:18.93;-15:31:48.70;;15.03;1.60;0.45;152
g;for;NGC1406;;03:39:23.30;-31:19:17.10;11.82;12.42;4.50;0.90;17
g;eri;NGC1407;;03:40:11.86;-18:34:48.40;9.65;10.69;5.73;5.27;60
g;tau;NGC1409;;03:41:10.43;-1:18:09.20;;14.76;0.82;0.64;130
g;tau;NGC1410;;03:41:10.75;-1:17:55.60;15.22;14.50;1.17;0.62;99
g;hor;NGC1411|IC1943;;03:38:44.87;-44:06:02.20;11.19;12.17;2.45;1.76;12
g;for;NGC1412|IC1981;;03:40:29.37;-26:51:44.10;13.13;13.63;1.06;0.45;133
g;eri;NGC1413;;03:40:11.55;-15:36:38.80;;15.23;0.90;0.77;52
g;eri;NGC1414;;03:40:57.04;-21:42:47.30;;14.67;1.71;0.36;170
g;eri;NGC1415|IC1983;;03:40:56.86;-22:33:52.10;11.53;12.65;3.74;1.51;141
g;eri;NGC1416;;03:41:02.89;-22:43:08.80;;14.18;1.50;1.01;172
g;eri;NGC1417;;03:41:57.42;-4:42:17.50;12.08;12.81;2.52;1.35;2
g;eri;NGC1418;;03:42:16.16;-4:43:50.70;13.73;14.44;1.14;0.65;7
g;eri;NGC1419;;03:40:42.11;-37:30:39.00;12.61;13.50;1.48;1.32;45
g;eri;NGC1421;;03:42:29.28;-13:29:16.90;11.52;11.96;3.55;0.75;180
g;eri;NGC1422;;03:41:31.07;-21:40:53.50;;14.05;2.51;0.61;63
g;eri;NGC1423;;03:42:40.10;-6:22:54.60;;14.79;1.00;0.66;16
g;eri;NGC1424;;03:43:14.04;-4:43:48.30;13.80;14.33;1.39;0.49;7
g;for;NGC1425;;03:42:11.47;-29:53:36.00;10.70;11.32;4.91;2.15;130
g;eri;NGC1426;;03:42:49.11;-22:06:30.10;11.47;12.27;2.86;1.92;112
g;for;NGC1427;;03:42:19.42;-35:23:33.20;10.88;11.78;4.33;2.87;78
g;eri;NGC1427A;;03:40:09.30;-35:37:28.00;;13.40;2.26;1.42;84
g;for;NGC1428;;03:42:22.73;-35:09:14.40;;13.84;1.48;0.73;123
g;tau;NGC1431;;03:44:40.80;02:50:05.80;;15.58;0.91;0.67;160
hii;tau;NGC1432;;03:45:49.59;24:22:04.30;;;60.00;40.00;
g;hor;NGC1433;;03:42:01.55;-47:13:19.50;9.95;10.81;6.19;2.96;95
g;eri;NGC1434;;03:46:12.87;-9:40:57.40;;15.36;0.79;0.48;163
neb;tau;NGC1435;;03:46:10.09;23:45:53.90;;;30.00;30.00;
g;eri;NGC1436|NGC1437;;03:43:37.08;-35:51:10.90;11.69;12.46;2.97;2.08;152
g;eri;NGC1437B;;03:45:54.80;-36:21:25.00;;13.88;2.87;0.86;2
g;eri;NGC1438;;03:45:17.23;-23:00:08.90;12.44;13.22;2.04;0.93;67
g;eri;NGC1439;;03:44:49.95;-21:55:14.00;11.39;12.29;2.96;2.83;10
g;eri;NGC1440|NGC1442;;03:45:02.91;-18:15:57.70;11.63;12.66;2.62;1.99;23
g;eri;NGC1441;;03:45:43.12;-4:05:29.70;12.93;13.90;1.85;0.65;89
cl;per;NGC1444;;03:49:28.88;52:39:19.20;6.60;7.04;3.60;;
g;eri;NGC1445;;03:44:56.22;-9:51:21.10;;15.02;0.77;0.62;106
g;eri;NGC1447;;03:45:47.15;-9:01:07.30;;16.02;0.86;0.58;115
